"","countytown","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref7","ref8","ref9","people","elderSum","marriedSum","elderPerc","marriedPerc","ageMedian","seven_n","univPerc","countytown.id","tks.sum","kmt.rate","dpp.rate","other.rate"
"1","南投縣中寮鄉",0.749902152641879,0.65874363327674,0.548054322277357,0.420291742641313,0.246300903496137,0.254652686762779,0.537229152987525,0.749539836970813,0.697787727153016,0.710007880220646,12791,3272,9553,0.255804862794152,0.746853256195763,51.4599714081487,0,0.12666715791025,"10008080",9871,70.31,29.69,0
"2","南投縣仁愛鄉",0.787025534851622,0.720165175498968,0.601374570446735,0.335197092535644,0.255328040117008,0.236963511813225,0.578915843066786,0.765653220951234,0.74526030695155,0.710720192452263,12172,1713,9078,0.140732829444627,0.745810055865922,43.6896551724138,7,0.102067183462532,"10008130",9475,84.82,15.18,0
"3","南投縣信義鄉",0.808897757952811,0.736724097238612,0.665607344632768,0.366166474284981,0.213164618566736,0.178257686676428,0.539239159350891,0.702652022502009,0.678332888057708,0.640608324439701,12860,1847,9050,0.143623639191291,0.703732503888025,43.0106284658041,2,0.11793168195277,"10008120",9760,80.96,19.04,0
"4","南投縣南投市",0.732510047212143,0.672787000645275,0.598311594626738,0.394810099476338,0.265501757126123,0.2835590169067,0.580385158456228,0.779195578031283,0.746915289092779,0.752423446723658,81874,15855,57042,0.193651220167575,0.696704692576398,46.3231015420425,17,0.261779328589673,"10008010",57350,68.02,31.98,0
"5","南投縣名間鄉",0.721097548873673,0.655872858207102,0.572209250335337,0.437441436109878,0.251516356766431,0.269818290734824,0.555150182417912,0.74898521673766,0.712803808569281,0.709273182957393,32388,7106,23375,0.219402247746079,0.721717920217364,48.0715532286213,4,0.169574259141586,"10008060",23832,64.75,35.25,0
"6","南投縣國姓鄉",0.754389698840055,0.671821672354949,0.561482433590403,0.375522138680033,0.242237345810293,0.241199617143465,0.554672395273899,0.771757862990091,0.713162429987075,0.719116855142703,16196,3744,11826,0.231168189676463,0.730180291429983,50.6004553215709,1,0.125963109969647,"10008100",11951,68.21,31.79,0
"7","南投縣埔里鎮",0.743251394963052,0.661071446655527,0.575892408245349,0.365136101182293,0.24855592947913,0.274985499205609,0.561487809218722,0.782904632013664,0.746531483457844,0.742832364044485,66699,13411,46316,0.201067482271099,0.694403214440996,47.4738023952096,21,0.188245327070139,"10008020",45144,70.04,29.96,0
"8","南投縣水里鄉",0.737680323139065,0.66412390198798,0.562925366247549,0.389834406623735,0.255080831408776,0.268003226178131,0.560924369747899,0.764022529922553,0.717975813079723,0.720248563723766,15023,3644,10850,0.242561405844372,0.722225920255608,50.6074438202247,4,0.148872180451128,"10008110",10905,69.89,30.11,0
"9","南投縣竹山鎮",0.737220967186124,0.667429792429792,0.554830036489341,0.413054177866959,0.250794745107051,0.289447429009977,0.563547026734244,0.726539989097422,0.708582292232482,0.723003603394165,45629,10154,33201,0.222533914834864,0.727629358521993,47.9432220536166,9,0.178359876201603,"10008040",31122,68,32,0
"10","南投縣草屯鎮",0.725813100292675,0.658378535050309,0.573786066877336,0.40488490308716,0.272070542940531,0.298752775644883,0.573000167000668,0.776600876733016,0.743159216999895,0.747880822492656,80426,15141,56384,0.1882600154179,0.701066819187825,46.1114997202015,18,0.237060665816031,"10008030",55356,53.79,46.21,0
"11","南投縣集集鎮",0.722680042995342,0.641617462873502,0.534883720930233,0.396346870012414,0.263129593117046,0.279828018631315,0.5578415448475,0.735490869643826,0.724480578139115,0.709018615579252,9345,2300,6851,0.246120920278224,0.733119315141787,49.8541919805589,2,0.169935301253538,"10008050",6956,68.63,31.37,0
"12","南投縣魚池鄉",0.735688025210084,0.654299947561615,0.525359477124183,0.399531494013535,0.290453710988723,0.278938378662462,0.552961350745284,0.760153459452308,0.716382387941293,0.718708653082826,13563,3293,9867,0.242792892427929,0.727493917274939,50.193740685544,5,0.142797610779275,"10008090",9871,68.99,31.01,0
"13","南投縣鹿谷鄉",0.751684088269454,0.660478069157577,0.54019255306809,0.393119266055046,0.298099483810418,0.264037122969838,0.561504217432052,0.768589216492423,0.728181604328393,0.723194362889019,15579,3885,11737,0.249374157519738,0.753385968290648,51.4069111424542,3,0.16949981655864,"10008070",11252,72.48,27.52,0
"14","嘉義市東區",0.696034294118702,0.649428073766812,0.599673290609798,0.461388301873276,0.322128292576736,0.338023530272812,0.538659604208048,0.730313459213096,0.69208440326002,0.707982529504693,97486,19066,67077,0.195576800771393,0.688068030281271,46.3159316904453,25,0.309872411629366,"10020010",63148,43.64,38.13,18.23
"15","嘉義市西區",0.708815500563765,0.653745121028183,0.599646873794475,0.483965706487882,0.301028540495023,0.316255296051144,0.540468812321664,0.730490173230793,0.687892947513855,0.727584113095331,116853,20671,80862,0.176897469470189,0.691997638058073,44.940510379913,32,0.259990831199216,"10020020",79060,39.21,40.7,20.1
"16","嘉義縣中埔鄉",0.732719880162636,0.655272181740249,0.575978695073236,0.47719939771994,0.273232681092277,0.29065517429491,0.520628574601588,0.71356811966289,0.675492989218479,0.693110181311018,38168,7601,27171,0.19914588136659,0.711879060993502,47.3371617369415,8,0.171627253224176,"10010130",23597,32.85,48.74,18.42
"17","嘉義縣六腳鄉",0.747565294378043,0.651350752878654,0.577293349562908,0.521998015216672,0.26843725065542,0.294394130459704,0.512786963244915,0.704505143667967,0.655370614297689,0.672041084438075,20341,5951,15157,0.292561820952756,0.745145273093752,52.5208640157094,3,0.135510965935604,"10010080",12654,23.62,60.65,15.73
"18","嘉義縣大埔鄉",0.720454545454545,0.663479052823315,0.581818181818182,0.442124375851112,0.279835390946502,0.289762340036563,0.548235294117647,0.735572374645222,0.704212020823474,0.711920529801324,3913,758,2939,0.193713263480705,0.751086123179146,46.8239795918367,1,0.143509615384615,"10010170",3075,29.89,56.07,14.05
"19","嘉義縣大林鎮",0.733541651871316,0.642212189616253,0.569343580342664,0.475530867669807,0.281184993902876,0.301467414760466,0.521182410185117,0.725014740566038,0.672348904139916,0.701428781852998,26146,6479,18910,0.247800810831485,0.72324638568041,49.7240691489362,8,0.197314234556849,"10010040",17589,30.85,45.35,23.81
"20","嘉義縣太保市",0.714926852013755,0.646373434314011,0.579524253731343,0.473159868729489,0.288374583531652,0.309834897256206,0.532193524918152,0.717822084019267,0.668455393621562,0.693084976868761,30453,5032,21825,0.165238235970184,0.716678159787213,44.546716759229,8,0.202565263316735,"10010010",20281,30.04,51.8,18.16
"21","嘉義縣布袋鎮",0.728903935674989,0.663503896984073,0.58682229552567,0.471715481171548,0.246657524854302,0.26223866471651,0.53958587088916,0.700070077084793,0.64780701754386,0.67480101460684,23362,5526,17247,0.236537967639757,0.73825014981594,49.654073736914,6,0.14901467845268,"10010030",15135,33.39,54.47,12.15
"22","嘉義縣新港鄉",0.72356425101484,0.629661751951431,0.572048901062195,0.541592099158216,0.284499183451279,0.297084048027444,0.503489738096883,0.684487899590874,0.637328339575531,0.668421417191937,26491,6486,19320,0.244837869465101,0.729304292023706,49.0643340857788,5,0.169889454290226,"10010070",18708,22.97,58.72,18.3
"23","嘉義縣朴子市",0.726662334849469,0.646799717222252,0.585080448561677,0.485314760824965,0.274739154310818,0.298410603310785,0.52298882526269,0.711583528624038,0.671006313907359,0.698161703078728,34085,7629,24436,0.223822795951298,0.716913598357049,47.1995537137392,9,0.212775187072986,"10010020",22145,27.9,53.77,18.33
"24","嘉義縣東石鄉",0.752221981357034,0.668800868149756,0.592395437262357,0.491434219196134,0.228725799189554,0.245631834066058,0.514974262985494,0.67669616519174,0.634701580561453,0.633000237925291,21316,5592,16163,0.262338149746669,0.758256708575718,49.8029618473896,2,0.110216362107871,"10010090",13234,24.13,54.97,20.9
"25","嘉義縣梅山鄉",0.721599832478275,0.648128679562658,0.584549176026031,0.465230901103611,0.263365282215122,0.278613333333333,0.512939400474445,0.711831442463533,0.668871300010842,0.684085253705507,16682,4355,12376,0.261059824961036,0.741877472725093,50.6571146245059,4,0.159587137753077,"10010150",11973,28.71,43.22,28.07
"26","嘉義縣民雄鄉",0.720158389505184,0.647215496368039,0.583187231727223,0.485877931995879,0.292757244279229,0.307408424070516,0.511295273173726,0.70448321486815,0.663177017581673,0.68554272517321,59414,10817,41600,0.182061466994311,0.700171676709193,45.9557021677663,15,0.214153836525222,"10010050",38046,31.91,44.72,23.37
"27","嘉義縣水上鄉",0.741024658234317,0.649223325693914,0.582990455991516,0.479977894915831,0.280089504711907,0.288700589272657,0.53043857735108,0.706721512340277,0.667031188486943,0.677281077770974,42671,8415,29891,0.19720653371142,0.700499168053245,47.5247458533975,9,0.178581657156705,"10010120",27689,35.15,50.45,14.4
"28","嘉義縣溪口鄉",0.723076923076923,0.667346344305272,0.592689295039164,0.538550724637681,0.291691661667666,0.305740181268882,0.50084498386849,0.687596659449428,0.639039504260263,0.660061919504644,12715,3449,9320,0.271254423908769,0.732992528509634,50.8902809415338,2,0.145844146214874,"10010060",9062,23.16,54.43,22.41
"29","嘉義縣番路鄉",0.750920891071742,0.665554775280899,0.574886004910558,0.426298303899283,0.240098574194684,0.253396859008294,0.509022690727175,0.734770889487871,0.699406368051808,0.705692224815945,9858,2237,7352,0.226922296611889,0.745790221140191,50.0201612903226,1,0.154905335628227,"10010160",6899,36.38,32.66,30.96
"30","嘉義縣竹崎鄉",0.743877985051954,0.674830261881668,0.586127308066084,0.471060311284047,0.260818350898946,0.275296602273433,0.514765784114053,0.715514474613261,0.686998394863563,0.690570878768441,30437,6920,22222,0.227354864145612,0.73009823569997,49.3375394321767,5,0.152880034647033,"10010140",20892,30.16,42.08,27.77
"31","嘉義縣義竹鄉",0.718702424171449,0.64,0.57929257437339,0.508881199538639,0.266611097880448,0.293002741685541,0.529291224686596,0.70563978168587,0.659021963353962,0.676880222841226,16252,4626,12313,0.284641890228895,0.757629830174748,52.8675108091414,2,0.147391227967442,"10010100",11984,20.14,70.93,8.93
"32","嘉義縣阿里山鄉",0.790604026845638,0.686818181818182,0.579927338782925,0.306844281120808,0.199725776965265,0.197792088316467,0.552209810587664,0.635115252574792,0.754042136207741,0.753056234718826,4551,836,3351,0.183695891012964,0.7363216875412,46.8181818181818,2,0.116427104722793,"10010180",3232,36.08,44.83,19.09
"33","嘉義縣鹿草鄉",0.701386795296955,0.622184770951433,0.560114647759843,0.519648704971718,0.280036546368205,0.304129209203108,0.501374885426214,0.674283085416347,0.631530282015719,0.642769230769231,13586,3957,10221,0.29125570440159,0.752318563226851,52.7253628724217,1,0.144634743096819,"10010110",8952,28.43,60.44,11.13
"34","基隆市七堵區",0.698941305317811,0.643117704280156,0.586890674851581,0.428449675324675,0.319296527522749,0.327491830065359,0.543467522845147,0.736354614621237,0.711626563209377,0.714397851683536,44927,7876,30821,0.17530660849823,0.686023994479934,46.6904936461388,10,0.220325898725198,"10017020",27636,42.5,57.5,0
"35","基隆市中山區",0.697097142857143,0.640079806978471,0.576331635016211,0.424578403055996,0.317062858216668,0.323966710304844,0.546782095799838,0.735013363879343,0.712805081912404,0.725633319021039,40750,7787,27492,0.191092024539877,0.674650306748466,47.7772842639594,5,0.199889091707295,"10017050",25102,45.51,54.49,0
"36","基隆市中正區",0.710245562402281,0.642909760589319,0.568200682467952,0.409389800892077,0.302397021177566,0.32497207743857,0.535570154856875,0.737631467245201,0.724620493358634,0.719099532776441,44346,8975,30187,0.202385784512696,0.680715284354846,48.2119496855346,14,0.210182018987745,"10017010",25440,47.21,52.79,0
"37","基隆市仁愛區",0.693261155519579,0.639341764436995,0.574849997478949,0.441309368410483,0.314468302658487,0.327541134860833,0.524952750676815,0.721017279392914,0.6967659137577,0.70748717948718,35809,8379,24909,0.233991454662236,0.695607249574129,49.626786257221,16,0.225942309220459,"10017040",22384,44.13,55.87,0
"38","基隆市信義區",0.693197669647986,0.64502801979793,0.587812294543064,0.384321145066425,0.318515142726934,0.326081551466932,0.570276400907334,0.773464414755063,0.76119023397762,0.757991829170703,44872,8310,30433,0.185193439115707,0.678218042431806,47.4668792934249,10,0.261688121095224,"10017070",27156,50.35,49.65,0
"39","基隆市安樂區",0.688279572814479,0.640139921294272,0.573390112739879,0.40279590948651,0.338042766746672,0.336660195236663,0.567285223367698,0.757512209927982,0.742033383915023,0.74583310413114,68289,11587,46898,0.169675936095125,0.686757750150097,46.6494620529224,12,0.24726929289058,"10017060",41256,45.04,54.96,0
"40","基隆市暖暖區",0.695826509290111,0.641337386018237,0.584687694659947,0.408951841359773,0.334501073567635,0.335448102423411,0.563831640058055,0.763621514409054,0.741867663376745,0.745260456162865,32233,5084,22031,0.157726553532094,0.683492073340986,46.6317654639175,6,0.229560477791952,"10017030",19722,46.76,53.24,0
